Datetime;Mac_Ethernet;Mac_Wifi;cpu;ram_usada;ram_livre;swap;discoTot_usado;Taxa_Inscricao;Mb_Enviados;Mb_Recebidos
2025-08-22 12:56:36;B0-7B-25-45-69-04;5C-CD-5B-C6-80-8B;8.2;78.7;3.355579376220703;6.9;76.9;0.96484375;0.00039196014404296875;0.012019157409667969
2025-08-22 12:56:53;B0-7B-25-45-69-04;5C-CD-5B-C6-80-8B;12.6;78.9;3.3261032104492188;6.9;76.9;0.7265625;0.000247955322265625;0.009987831115722656
2025-08-22 12:57:09;B0-7B-25-45-69-04;5C-CD-5B-C6-80-8B;9.1;78.9;3.3327865600585938;6.9;76.9;0.87890625;0.000274658203125;0.015970230102539062
